underflow,0x1ae00b00b9187e61d0417d4e336625fc343550e2,gxtoken,135,9,totalSupply -= _value
underflow,0x1ae00b00b9187e61d0417d4e336625fc343550e2,gxtoken,153,9,totalSupply -= _value
overflow,0x1ae00b00b9187e61d0417d4e336625fc343550e2,gxtoken,54,33,balanceOf[_from] + balanceOf[_to]
overflow,0x1ae00b00b9187e61d0417d4e336625fc343550e2,gxtoken,61,16,balanceOf[_from] + balanceOf[_to]
overflow,0x20b59478e5e4b1a1051fe20d1a639a0e7beb36a2,Coinnec,123,26,msg.value * unitsOneEthCanBuy
overflow,0x20b59478e5e4b1a1051fe20d1a639a0e7beb36a2,Coinnec,64,13,balances[_to] += _value
overflow,0x20b59478e5e4b1a1051fe20d1a639a0e7beb36a2,Coinnec,122,25,totalEthInWei + msg.value
overflow,0x20b59478e5e4b1a1051fe20d1a639a0e7beb36a2,StandardToken,64,13,balances[_to] += _value
overflow,0x20b59478e5e4b1a1051fe20d1a639a0e7beb36a2,StandardToken,54,13,balances[_to] += _value
underflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,180,46,block.timestamp - claimed[msg.sender]
overflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,206,16,balances[msg.sender] + balances[_payout]
overflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,189,36,balances[msg.sender] + balances[_payout]
overflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,223,17,totalSupply + amount
overflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,232,9,funds += msg.value
overflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,189,36,balances[msg.sender] + balances[_payout] + balances[_fee]
overflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,206,16,balances[msg.sender] + balances[_payout] + balances[_fee]
overflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,195,9,balances[_payout] += payAmount
overflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,220,26,msg.value * 30000
overflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,226,9,totalSupply += amount
overflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,223,42,10000000 * 10 ** uint256(decimals)
overflow,0xbd5cfa0e509b2981753da7a53ee18f5876f8631e,EthereumUltimate,198,9,balances[_fee] += feeAmount
